bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,city,zipcode,log_sqft_lot,was_renovated,age,price
3.0,1.5,1180,1.0,0,0,3,800,380,32,42,9.41938499891089,1,33,372500.0
4.0,2.75,2840,1.5,0,0,5,1960,880,34,64,8.294299608857235,0,102,870000.0
4.0,2.5,2030,1.5,0,0,4,1630,400,34,47,8.270269111436624,1,88,831000.0
3.0,1.0,940,1.0,0,0,3,940,0,30,31,9.246575864558277,1,49,354000.0
3.0,2.5,2860,2.0,0,0,4,2860,0,1,45,10.687891253367626,0,24,378500.0
3.0,1.5,1660,2.0,0,0,3,1660,0,1,0,9.65509029374725,1,33,220000.0
4.0,2.5,4060,1.0,0,4,3,2150,1910,16,16,9.1834829178063,1,37,603500.0
1.0,1.5,810,2.0,0,0,4,810,0,18,21,8.074649075066652,1,32,285000.0
3.0,3.25,1370,2.0,0,0,3,1100,270,34,55,6.81783057145415,0,8,390000.0
3.0,2.0,1560,1.0,0,0,3,1560,0,0,0,8.902863672196222,0,22,196440.0
3.0,1.0,1090,1.0,0,0,4,1090,0,30,31,9.200391041122515,1,59,300000.0
5.0,2.5,2570,2.0,0,0,3,2570,0,11,11,9.206633510044856,0,8,492500.0
6.0,2.75,2520,2.0,1,4,3,2520,0,34,65,10.899716371226633,1,60,975000.0
3.0,1.75,1180,1.0,0,0,4,1180,0,41,41,9.714322633260165,0,47,390000.0
3.0,2.0,1270,1.0,0,0,3,1270,0,34,59,8.188966863648876,1,51,349500.0
3.0,2.5,2050,1.0,0,0,4,1570,480,15,15,10.596734728096406,0,37,439500.0
4.0,1.75,1960,1.0,0,0,5,1340,620,26,27,9.137877200242468,0,35,372000.0
2.0,1.0,1050,1.0,0,0,4,1050,0,1,0,11.003998038487318,0,71,415000.0
3.0,2.5,2090,1.5,0,0,4,2090,0,34,48,8.699681400989514,0,86,1365000.0
3.0,1.75,1940,1.5,0,0,4,1940,0,12,12,8.922791623969637,1,96,295000.0
3.0,1.75,1140,1.0,0,0,4,1140,0,14,13,9.172534657240284,0,45,120750.0
6.0,5.25,2860,2.0,0,0,3,2860,0,1,1,8.645234541297121,0,36,300000.0
3.0,2.0,1410,1.0,0,0,3,1410,0,17,18,8.658866349732383,0,29,245000.0
3.0,2.5,1900,2.0,0,0,3,1900,0,18,21,8.936561204693394,1,24,512500.0
5.0,3.25,4180,2.0,0,0,4,2880,1300,15,15,10.804116272920615,0,35,869000.0
3.0,2.75,2090,1.0,0,0,3,1340,750,14,13,9.171703488361265,1,27,300000.0
3.0,1.75,2110,2.0,0,0,4,2110,0,31,37,9.23024103368252,0,48,305495.0
4.0,3.25,3430,2.0,0,0,3,3430,0,5,9,9.197356444417888,0,0,749995.0
3.0,3.0,2790,2.0,1,4,4,1600,1190,10,73,9.435402082446297,0,37,835000.0
4.0,2.5,2980,2.0,0,0,3,2980,0,37,38,9.000606507571892,0,14,622500.0
4.0,2.5,2105,2.0,0,0,3,2105,0,17,26,8.715059959545654,0,11,330000.0
2.0,1.75,1250,1.0,0,0,4,1250,0,14,2,10.445695557530787,1,64,299000.0
3.0,1.75,1890,1.0,0,0,5,1890,0,17,26,9.536834420213353,0,48,292285.714286
4.0,1.75,1720,1.0,0,0,3,1220,500,14,13,8.881975184248867,0,40,161700.0
4.0,2.75,2420,1.0,0,0,3,1530,890,3,6,9.30228124567454,1,37,725000.0
2.0,1.25,1240,2.0,0,0,3,1240,0,34,56,7.67368812926773,0,0,545000.0
2.0,1.75,1210,2.0,0,0,3,1210,0,15,17,6.940222469119639,0,0,357562.0
4.0,3.25,3730,2.0,0,0,3,2760,970,34,47,8.4252971767117,1,1,595000.0
3.0,1.75,1790,1.0,0,3,3,1790,0,14,13,8.942591637231851,0,36,299950.0
4.0,3.25,4420,2.0,1,4,3,3150,1270,3,7,8.968396191198256,0,13,2700000.0
3.0,2.25,1270,2.0,0,0,3,1060,210,34,48,7.249215057114389,0,0,594000.0
3.0,2.5,2840,1.0,0,3,3,1870,970,7,10,10.793783324133198,0,20,500000.0
4.0,2.0,1670,1.0,0,0,3,1670,0,16,16,9.397400683117311,1,59,400000.0
4.0,2.5,1540,2.0,0,0,3,1540,0,15,17,7.528869256642251,0,0,491234.0
2.0,1.5,982,2.0,0,0,3,806,176,34,62,6.741700694652055,0,8,250000.0
3.0,1.75,2160,1.0,0,0,4,1390,770,34,54,8.744009988096742,1,54,820000.0
4.0,2.5,2070,2.0,0,0,3,2070,0,1,45,8.919586920999915,0,11,300000.0
3.0,2.5,1600,2.0,0,0,4,1600,0,17,19,7.933438387627489,0,22,245000.0
4.0,3.5,4220,2.0,0,0,3,4220,0,1,45,12.1900347228324,0,21,799950.0
5.0,2.75,2670,2.0,0,0,3,2670,0,31,37,8.24301946898925,0,0,341166.666667
3.0,1.5,1230,1.0,0,0,4,1230,0,6,69,8.994296557777195,1,65,150000.0
4.0,1.75,2240,1.5,0,0,4,2240,0,3,7,9.198976041897133,0,49,500000.0
4.0,2.5,2670,2.0,0,0,3,2670,0,31,37,9.078635880978755,0,8,515000.0
3.0,1.75,1140,1.0,0,0,4,1140,0,23,76,9.249657234353133,0,31,250000.0
6.0,1.75,2740,1.0,0,3,3,1370,1370,34,65,8.757940876678804,0,61,675000.0
3.0,1.75,3160,1.0,0,0,4,2160,1000,1,0,11.241523483091212,1,36,625000.0
3.0,1.75,1670,1.0,0,0,5,1670,0,22,25,9.169622538697624,0,53,785000.0
3.0,2.0,1340,3.0,0,0,3,1340,0,34,47,7.233455418621439,0,6,376000.0
2.0,2.0,1540,2.0,0,0,3,1540,0,30,32,10.905056493665374,1,31,475000.0
4.0,2.75,2620,2.0,0,0,3,2620,0,26,27,8.702842538302868,1,1,499431.0
3.0,1.75,1280,1.0,0,0,4,1280,0,31,37,9.279586544712997,0,45,317061.875
4.0,2.0,2090,1.5,0,0,5,1790,300,34,54,8.191740021277457,0,87,619400.0
5.0,3.0,3110,1.0,0,0,3,1790,1320,5,9,9.427868184504756,1,37,436500.0
4.0,1.5,1890,1.0,0,0,4,1890,0,1,45,10.681917533624532,0,40,320000.0
3.0,2.0,1650,1.0,0,0,3,1160,490,31,36,8.902863672196222,1,35,252350.0
4.0,2.75,3110,2.0,0,0,4,3110,0,41,41,10.469823566229687,0,31,749950.0
3.0,2.25,1640,2.0,0,0,3,1640,0,15,17,8.26796230533871,0,20,478000.0
3.0,2.5,2375,2.0,0,0,3,2375,0,30,31,8.31752199628717,0,12,712000.0
6.0,2.75,2520,1.0,0,0,4,1320,1200,19,67,9.140454244512016,0,52,410000.0
3.0,1.75,1570,2.0,0,0,3,1570,0,26,27,9.730205020392843,0,32,370000.0
2.0,1.0,710,2.0,0,0,4,710,0,34,46,7.068172000388042,0,71,402000.0
4.0,3.5,4680,2.0,0,0,3,3360,1320,3,5,9.179984251961283,0,9,1160000.0
4.0,2.5,3250,2.0,0,0,3,3250,0,31,37,8.517393171418904,0,6,580000.0
3.0,2.0,1900,1.0,0,0,4,950,950,34,54,8.999742789830492,1,74,520500.0
3.0,2.25,2230,2.0,0,0,4,2230,0,3,6,9.110961927995904,0,27,600000.0
4.0,2.25,1720,1.0,0,0,4,1720,0,14,13,9.024131268455035,0,41,240015.333333
2.0,1.0,820,1.0,0,0,4,820,0,34,63,8.740496729931813,0,92,375000.0
2.0,1.0,1110,1.0,0,0,5,1000,110,34,62,8.824824939175638,0,67,440150.0
2.0,1.5,1480,1.0,0,0,4,1480,0,34,65,9.657714883161557,1,74,280000.0
3.0,1.75,1370,1.0,0,0,5,770,600,34,53,8.25608813381491,1,103,850000.0
3.0,2.25,2120,2.0,0,0,3,2120,0,31,37,9.616072111201778,0,30,345000.0
4.0,2.5,2680,2.0,0,0,3,2680,0,15,17,9.12543586488574,0,25,620000.0
3.0,2.75,3400,2.0,0,2,3,2470,930,31,34,8.881975184248867,0,5,530000.0
3.0,2.25,2140,2.0,0,0,3,2140,0,34,47,8.006700845440367,1,109,780000.0
3.0,2.0,1470,1.0,0,0,4,1470,0,34,60,9.215626376405421,0,58,480000.0
3.0,1.0,1150,1.0,0,0,4,1150,0,6,69,8.875846177738598,1,61,203000.0
7.0,3.0,2800,1.0,0,2,3,1400,1400,31,34,9.166388484447,1,51,350000.0
3.0,1.5,1810,1.0,0,0,3,950,860,9,26,10.285649915074456,1,31,261000.0
3.0,1.75,1650,1.0,0,0,5,1040,610,34,54,8.537191877922927,0,106,600000.0
2.0,1.0,660,1.0,0,0,3,660,0,34,49,8.517393171418904,0,99,175000.0
3.0,1.0,970,1.0,0,0,4,970,0,17,19,8.892336539638013,0,44,215000.0
3.0,2.25,1765,2.0,0,0,3,1765,0,14,2,8.942853006809921,0,18,250000.0
5.0,4.5,3810,2.0,0,0,3,3810,0,32,43,8.98969370086056,0,6,966000.0
1.0,0.75,430,1.0,0,0,2,430,0,7,10,8.527341522468053,0,102,80000.0
3.0,2.0,1530,1.0,0,0,4,1530,0,34,54,8.59452453435256,0,77,570000.0
3.0,1.0,1710,1.5,0,0,4,1200,510,34,62,8.788288460263619,1,88,440000.0
3.0,2.5,1760,1.5,0,0,5,1760,0,6,66,9.057771773331575,0,77,289950.0
3.0,2.5,1920,2.0,0,0,3,1920,0,26,27,9.172223049863055,0,21,391500.0
3.0,2.25,1820,2.0,0,0,3,1820,0,18,22,8.899321434159964,1,31,489950.0
5.0,4.5,4400,2.0,0,0,3,3390,1010,3,3,9.653807502217354,0,11,1800000.0
4.0,2.25,2370,1.0,0,2,3,1440,930,34,70,8.699681400989514,1,55,899000.0
4.0,2.5,3240,1.0,0,0,3,1860,1380,32,42,9.545311482471128,1,37,635700.0
2.0,1.0,900,1.0,0,0,4,900,0,34,56,8.537191877922927,1,105,473000.0
6.0,4.5,3830,3.0,0,0,3,3050,780,34,58,8.476579508530941,1,95,1288333.33333
4.0,2.5,3190,1.0,0,0,5,2210,980,34,60,9.339261152043022,0,68,659000.0
2.0,1.0,1100,1.0,0,0,4,1100,0,34,64,8.188411308079031,1,88,403000.0
5.0,3.5,3990,2.0,0,0,3,3990,0,24,37,9.204221690968005,0,13,1068000.0
4.0,3.5,2640,2.0,0,2,3,2640,0,34,63,8.682877107057168,1,77,850000.0
5.0,2.0,1750,1.0,0,0,4,1750,0,31,34,9.238441802087058,0,71,190000.0
3.0,1.5,1170,1.0,0,0,4,1170,0,3,6,8.507344855361422,1,54,330000.0
4.0,3.0,3700,1.0,0,0,4,1850,1850,3,3,9.931637595952473,1,38,1728000.0
3.0,2.5,1520,2.0,0,0,3,1040,480,34,58,7.700295203420117,0,7,499950.0
5.0,2.25,3740,1.5,0,0,3,2240,1500,10,73,10.388441368734549,1,56,392000.0
4.0,2.5,2810,2.0,0,0,3,2810,0,32,42,9.316590491818841,0,32,675000.0
2.0,1.0,930,1.0,0,0,4,930,0,31,34,8.464635940677562,1,72,141800.0
3.0,2.5,2250,2.0,0,0,3,2250,0,1,45,8.894944460956886,0,20,308900.0
1.0,1.0,1140,1.5,0,0,3,1140,0,34,47,8.81001204797317,1,94,540000.0
4.0,2.0,2430,1.0,0,0,3,1430,1000,34,71,9.10063710688422,1,54,255000.0
3.0,1.75,1710,1.0,0,0,4,1710,0,18,21,9.078864009187797,0,28,630000.0
2.0,3.25,1400,3.0,0,0,3,1400,0,34,47,7.126087273299125,0,14,474800.0
2.0,1.0,940,1.0,0,0,4,940,0,6,68,9.051696278536586,0,55,249950.0
3.0,2.75,2280,1.0,0,0,5,1280,1000,34,47,8.361941906144946,0,97,875000.0
2.0,1.0,1200,1.0,0,0,3,1070,130,34,61,8.294299608857235,1,74,450000.0
4.0,2.25,2180,2.0,0,0,3,2180,0,32,42,8.895355616996392,0,30,610750.0
6.0,2.0,2220,1.0,0,0,3,2220,0,1,1,9.082279701908664,1,37,260000.0
3.0,1.75,1320,1.0,0,0,5,1320,0,35,62,8.733271845008325,1,66,313000.0
3.0,1.0,960,1.0,0,0,3,960,0,35,67,8.999742789830492,1,59,255000.0
3.0,2.0,960,1.0,0,0,3,960,0,34,65,9.14644164612595,1,65,210000.0
3.0,2.25,3060,2.0,0,0,3,3060,0,3,5,9.400630098419315,1,31,860000.0
4.0,1.75,1980,1.0,0,0,2,1480,500,14,13,9.105090961257085,0,36,213000.0
4.0,2.25,2870,2.0,0,1,4,2220,650,34,65,8.604104563405533,1,88,665900.0
3.0,2.0,1340,1.0,0,0,3,920,420,1,1,8.371242135931933,1,102,186000.0
2.0,2.0,2280,1.0,0,0,3,2280,0,30,32,8.827028068509152,0,12,835000.0
4.0,1.75,1830,1.0,0,0,4,1010,820,3,5,9.169622538697624,0,48,433000.0
3.0,2.0,2560,1.0,0,0,3,1330,1230,30,31,9.59430941973946,1,27,599000.0
4.0,2.5,2240,1.0,0,0,3,2240,0,32,42,9.395408154438163,1,31,592500.0
3.0,2.5,1601,3.0,0,0,3,1536,65,34,60,7.820840879907344,0,7,378000.0
4.0,2.75,2080,1.5,0,0,3,2080,0,34,50,8.294299608857235,1,102,940000.0
4.0,3.5,4380,1.0,0,0,3,4380,0,30,32,11.212536332042088,0,13,1300000.0
5.0,2.25,3200,1.0,0,0,3,1600,1600,8,3,9.911406117780423,1,49,1325000.0
3.0,1.0,910,1.0,0,0,4,910,0,6,68,8.566173813637858,0,43,244000.0
3.0,1.75,1580,1.0,0,0,3,1150,430,3,4,8.911529941736559,1,47,600000.0
3.0,2.5,2250,2.0,0,0,3,2250,0,34,65,8.646992628951082,0,14,445838.0
4.0,3.0,2200,1.0,0,0,3,2200,0,31,36,9.287394001418473,1,54,300000.0
3.0,1.75,2050,1.0,0,0,4,1070,980,34,63,8.166500319155052,0,37,568000.0
4.0,1.75,2180,1.0,0,0,3,1180,1000,33,73,10.265035603577836,1,64,210000.0
6.0,3.25,4250,1.0,0,3,3,2150,2100,14,2,10.057366766948556,1,47,465000.0
3.0,1.0,1900,1.5,0,0,4,1900,0,1,0,10.43084575693648,1,72,239950.0
4.0,2.75,3220,1.5,0,0,4,2320,900,34,48,8.38776764397578,0,83,880000.0
3.0,2.0,1660,1.0,0,0,3,1660,0,34,63,9.021839764105513,1,65,380000.0
2.0,1.0,1190,1.0,0,0,3,1190,0,35,62,8.732465848349879,1,66,295950.0
3.0,1.75,2050,1.0,0,0,3,1460,590,3,5,9.380673689458071,1,52,655275.0
3.0,2.25,1710,2.0,0,0,3,1710,0,15,17,8.328692583545568,1,10,561000.0
2.0,1.0,790,1.0,0,0,3,790,0,34,59,8.79497643168877,1,65,436000.0
4.0,2.5,2400,2.0,0,0,3,2400,0,32,42,8.722254235179681,1,24,575000.0
4.0,2.5,2800,2.0,0,0,3,2800,0,14,2,9.163143937145207,0,21,350000.0
4.0,2.25,2220,2.0,0,0,4,2220,0,20,23,8.847072312567807,0,15,350000.0
4.0,2.5,2790,2.0,0,0,3,2790,0,41,44,12.349605729075051,0,25,599000.0
4.0,2.5,2970,2.0,0,0,3,2970,0,30,31,8.38958706681109,0,0,775950.0
3.0,1.0,1240,1.0,0,0,4,1240,0,25,68,9.315510869581722,0,62,390000.0
3.0,2.0,1320,1.5,0,0,4,1320,0,34,64,8.699681400989514,0,94,410000.0
3.0,2.5,2540,2.0,0,0,3,2540,0,31,37,8.6328406149422,0,15,425000.0
3.0,1.0,1400,1.0,0,0,3,1400,0,34,60,8.863191340690854,1,57,349950.0
3.0,2.5,2260,2.0,0,0,3,2260,0,31,36,9.894547710966654,0,20,309487.5
4.0,2.75,2630,2.0,0,0,3,2630,0,30,31,8.923457979694966,0,20,725000.0
4.0,2.5,1910,1.0,0,0,4,1910,0,31,37,9.131838143821225,0,51,333000.0
2.0,2.5,1140,3.0,0,0,3,1140,0,34,50,7.075808863978387,0,7,425000.0
3.0,1.75,2310,1.0,0,0,3,1760,550,15,15,11.275239178839687,1,37,527500.0
2.0,1.0,1140,1.0,0,0,3,1140,0,34,49,8.612685172875459,1,67,249900.0
3.0,2.0,1680,1.0,0,0,3,1680,0,12,12,9.038958755220563,0,21,289000.0
1.0,0.75,380,1.0,0,0,3,380,0,6,69,9.61587214452889,1,51,245000.0
4.0,2.5,2090,2.0,0,0,3,2090,0,15,17,8.703506769479729,1,24,545000.0
2.0,2.0,2370,1.5,0,0,3,1600,770,15,15,12.291337080838684,0,22,543000.0
5.0,3.25,2820,1.5,0,0,3,2320,500,34,57,8.793308627496552,1,108,408000.0
4.0,2.0,1960,1.0,0,0,5,1160,800,17,19,8.93075873555827,0,36,250000.0
4.0,3.0,5430,2.0,0,0,4,5430,0,30,32,11.598194491615347,0,27,1360000.0
2.0,1.0,970,1.0,0,0,4,970,0,34,61,8.657129031713755,1,82,345000.0
3.0,1.0,1090,1.0,0,0,3,1090,0,14,2,9.050288983827956,1,47,190000.0
3.0,1.0,1170,1.0,0,0,3,1170,0,34,60,8.81001204797317,1,57,415000.0
3.0,3.25,1860,3.0,0,0,3,1860,0,35,67,7.488852955733459,0,7,379950.0
2.0,1.0,720,1.0,0,0,5,720,0,31,36,8.881975184248867,0,71,199000.0
3.0,1.0,1150,1.0,0,0,4,990,160,35,67,9.005282288208358,1,82,290000.0
4.0,2.0,2180,1.0,0,0,3,1020,1160,34,59,8.261268150577648,1,114,558000.0
3.0,1.5,1460,1.0,0,0,3,1460,0,1,0,9.61587214452889,1,48,232000.0
2.0,1.0,1030,1.0,0,0,5,1030,0,34,55,8.657129031713755,1,86,650000.0
6.0,2.5,3820,1.0,0,0,4,2040,1780,15,15,10.881324834061799,0,40,611000.0
3.0,2.25,1680,2.0,0,0,4,1680,0,26,27,10.951928723957874,0,25,440000.0
3.0,1.75,1890,2.0,0,0,4,1890,0,35,62,9.116139576577355,0,62,359950.0
3.0,2.5,1660,2.0,0,0,3,1660,0,17,26,8.742574237670638,0,11,285000.0
3.0,1.75,1720,1.0,0,0,4,960,760,34,64,8.314097335405807,0,90,615000.0
3.0,2.5,2040,2.0,0,0,3,2040,0,30,31,8.439880088313567,0,22,580000.0
3.0,2.5,2437,2.0,0,0,3,2437,0,1,1,8.544224530467268,0,3,285000.0
3.0,2.5,2950,2.0,0,0,3,2950,0,31,37,9.235520670506482,0,8,554950.0
3.0,1.75,1480,1.0,0,0,4,1480,0,31,34,8.885440911707585,0,49,320000.0
4.0,1.0,1940,1.0,0,0,3,1080,860,17,19,9.162619635764772,1,52,265000.0
4.0,2.5,2990,2.0,0,0,4,2990,0,31,36,9.0953783535065,0,23,469900.0
3.0,2.5,2280,2.0,0,0,3,2280,0,1,0,8.911664758049536,1,16,320000.0
4.0,2.5,2400,2.0,0,0,3,2400,0,15,17,8.902727664035522,1,24,650000.0
2.0,1.5,1370,2.0,0,0,3,1080,290,34,59,7.108244139731541,0,6,446000.0
4.0,3.0,2330,2.0,0,0,3,1920,410,34,51,8.159946655578548,0,11,490000.0
2.0,1.0,890,1.0,0,0,3,890,0,34,56,8.431853144249223,1,91,423050.925926
3.0,1.0,1320,1.5,0,0,3,1320,0,34,55,8.517393171418904,1,102,201500.0
3.0,2.5,1750,2.0,0,0,3,1750,0,31,33,8.883085524404578,0,20,324000.0
4.0,2.5,2286,2.0,0,0,3,2286,0,31,34,9.020389788017736,0,12,481000.0
3.0,2.5,3180,1.0,0,0,3,1810,1370,31,34,8.975250749643573,0,8,439000.0
4.0,2.0,2510,1.0,0,0,3,2510,0,18,22,10.549071316164463,1,54,600000.0
5.0,1.75,3380,1.0,0,0,4,1690,1690,8,3,9.904586947979428,0,51,1346400.0
3.0,3.5,3830,2.0,0,0,3,3530,300,41,44,12.307206742449521,0,21,800000.0
3.0,2.0,1300,1.0,0,0,3,900,400,34,57,8.224699561967235,0,21,450385.714286
5.0,3.25,2750,2.0,0,1,3,2150,600,18,21,8.922791623969637,1,77,750000.0
3.0,1.75,2430,1.0,0,0,4,1410,1020,31,37,9.119758993744945,1,36,335000.0
4.0,3.25,3440,2.0,0,0,3,3440,0,18,21,10.463731714431846,1,31,1050000.0
3.0,1.75,1840,1.0,0,0,4,1500,340,17,18,9.179674957665297,0,29,235000.0
5.0,3.25,3400,2.0,0,0,3,3400,0,3,6,8.916371914881694,0,15,950000.0
4.0,2.5,1890,1.0,0,0,3,1290,600,30,31,9.04852707581358,0,34,437000.0
3.0,1.5,1950,1.0,0,0,4,1950,0,14,2,9.677527538712344,0,55,290000.0
3.0,2.0,1660,1.0,0,0,3,1260,400,18,22,9.619199713152362,1,31,453000.0
3.0,2.5,2070,2.0,0,0,3,2070,0,24,34,9.450065682882071,0,18,560000.0
5.0,2.5,2640,2.0,0,0,3,2640,0,30,32,8.867427438524983,0,11,632500.0
3.0,2.5,1800,2.0,0,0,3,1800,0,34,61,7.901377353792616,0,3,309000.0
3.0,2.25,2590,2.0,0,3,3,2590,0,10,73,9.631022445889208,0,30,538250.0
4.0,2.5,2870,2.0,0,0,3,2540,330,31,36,9.13701670755734,1,35,399000.0
5.0,1.5,3360,2.0,0,0,3,3360,0,32,42,8.594709633844065,0,0,804995.0
5.0,2.25,2370,2.0,0,0,4,2370,0,3,5,9.64943366106433,0,33,913888.0
5.0,4.0,3760,2.0,0,0,3,3760,0,18,21,10.241423003850693,1,31,1025000.0
3.0,1.5,1300,1.0,0,0,3,1300,0,30,31,9.860788798003012,1,50,425000.0
4.0,2.0,1730,1.0,0,0,5,1010,720,34,49,8.612685172875459,0,71,360000.0
1.0,0.75,370,1.0,0,0,5,370,0,34,56,7.496652438168283,0,91,276000.0
3.0,3.5,1360,2.0,0,0,3,1040,320,34,50,7.258412150595307,0,7,515000.0
5.0,2.5,2025,2.0,0,0,3,2025,0,27,28,8.95686647085414,0,7,260000.0
5.0,3.0,2876,1.0,0,2,4,1970,906,22,25,9.541656481448024,0,41,895000.0
4.0,2.5,3550,2.0,0,0,3,3550,0,37,38,8.993303139093733,0,7,625000.0
4.0,1.0,1980,1.5,0,0,3,1980,0,31,36,8.98619632032839,1,52,345000.0
3.0,1.0,1060,1.0,0,0,3,1060,0,30,31,9.161780181360806,1,48,349950.0
4.0,2.0,2750,1.5,0,0,5,2250,500,34,60,8.962904128092928,0,98,571000.0
6.0,4.0,3120,2.0,0,2,4,2090,1030,34,49,8.352554369474591,0,21,315000.0
3.0,3.25,1530,2.0,0,0,3,1280,250,34,59,7.356279876550748,0,9,654000.0
4.0,2.75,1240,1.0,0,0,3,800,440,34,60,8.260492856573185,1,27,400000.0
3.0,2.5,2300,2.0,0,0,3,2300,0,11,11,9.161360189754465,0,11,435000.0
4.0,2.5,2300,2.0,0,0,3,2300,0,31,34,8.714074899541522,0,13,431000.0
5.0,2.5,2340,2.0,0,0,3,2340,0,31,37,8.412054873292933,0,5,429000.0
3.0,1.0,1250,1.5,0,0,3,1250,0,35,67,8.729235349659273,1,59,233000.0
3.0,1.0,1150,2.0,0,0,3,1150,0,34,63,8.537191877922927,1,103,500000.0
3.0,2.25,1670,2.0,0,0,3,1220,450,34,74,7.3758821482150125,0,12,505000.0
4.0,3.5,3650,2.0,0,0,3,2550,1100,26,27,10.55963355495159,0,18,696000.0
4.0,2.5,2740,2.0,0,0,3,2740,0,41,44,10.671324678727517,0,21,630000.0
2.0,1.0,790,1.0,0,0,3,790,0,30,31,8.84937050375457,1,59,315000.0
3.0,1.75,2170,1.0,0,0,3,1450,720,32,42,10.183427229849748,0,28,510000.0
2.0,1.0,770,1.0,0,0,5,770,0,34,56,8.294299608857235,1,90,413500.0
3.0,2.0,1670,1.0,0,0,3,1670,0,17,18,8.956479847999912,0,22,289950.0
3.0,2.0,1240,1.0,0,0,3,1000,240,32,42,9.321255432547337,0,30,401000.0
2.0,1.5,950,1.0,0,0,4,950,0,34,47,8.439447842791385,1,65,430000.0
3.0,1.75,1690,2.0,0,0,3,1380,310,34,51,7.292337176173877,0,6,380000.0
3.0,2.5,3870,2.0,0,3,3,3870,0,3,7,10.749570389366786,0,17,1275000.0
3.0,2.5,4560,2.0,0,0,4,3800,760,32,42,9.77696014606437,0,28,695000.0
4.0,2.0,1840,1.0,0,0,4,920,920,34,74,8.597851094433691,1,72,639000.0
4.0,1.75,1250,1.0,0,0,5,1250,0,3,7,8.909370405197466,0,55,391400.0
4.0,2.5,2380,2.0,0,0,4,2380,0,17,19,8.863191340690854,0,17,268971.875
4.0,2.5,3190,2.0,0,0,3,3190,0,20,23,9.011401509358791,0,8,589950.0
3.0,2.25,1600,2.0,0,0,4,1600,0,41,41,10.727969965926095,0,31,502000.0
2.0,1.0,830,1.0,1,3,4,830,0,40,40,10.178464252490356,0,86,385000.0
