date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,lat,long
2014-05-31 00:00:00,289950.0,3.0,2.5,1960,3480,2.0,0,0,3,1960,0,2004,2003,2826 Access Rd,Renton,WA 98056,USA,,
2014-06-02 00:00:00,327000.0,3.0,1.5,1320,13200,1.0,0,0,3,1320,0,1970,2014,11406 Nile Ave NE,Renton,WA 98059,USA,,
2014-06-02 00:00:00,544000.0,3.0,1.5,1790,8203,1.5,0,1,3,1790,0,1910,2006,Schmitz Park to Alki Trail,Seattle,WA 98116,USA,,
2014-06-03 00:00:00,235000.0,3.0,1.0,1250,15603,1.0,0,0,4,1250,0,1959,0,12522 SE 105th St,Renton,WA 98056,USA,,
2014-06-04 00:00:00,427500.0,4.0,2.5,2460,5091,2.0,0,0,3,2460,0,2003,0,SE 170th Pl,Renton,WA 98058,USA,,
2014-06-06 00:00:00,415000.0,3.0,1.75,1910,12596,1.0,0,0,3,1340,570,1977,2004,15505 180 Ave NE,Woodinville,WA 98072,USA,,
2014-06-06 00:00:00,1035000.0,4.0,3.25,3450,11240,2.0,0,3,4,2430,1020,1960,2001,Indian Trail,Burien,WA 98166,USA,,
2014-06-07 00:00:00,611000.0,6.0,2.5,3820,53173,1.0,0,0,4,2040,1780,1974,0,820 Idylwood Dr SW,Issaquah,WA 98027,USA,,
2014-06-09 00:00:00,347000.0,3.0,1.75,1240,8050,1.0,0,0,4,1240,0,1978,2000,22207 Daeila Dr,Sammamish,WA 98074,USA,,
2014-06-09 00:00:00,1339000.0,4.0,2.5,4250,19387,2.0,0,2,4,3260,990,1972,0,9426 SE 52nd St,Mercer Island,WA 98040,USA,,
2014-06-10 00:00:00,525000.0,5.0,2.75,2880,8364,2.0,0,0,3,2880,0,2006,0,407 Kitsap Ave NE,Renton,WA 98059,USA,,
2014-06-12 00:00:00,342500.0,3.0,2.0,2080,11375,1.0,0,0,3,2080,0,2002,0,3322 261st Pl SE,Enumclaw,WA 98022,USA,,
2014-06-13 00:00:00,883000.0,4.0,2.5,3670,54450,2.0,0,0,3,3670,0,1999,0,1227 243rd Ave NE,Sammamish,WA 98074,USA,,
2014-06-16 00:00:00,357186.0,2.0,1.75,1210,1040,2.0,0,0,3,1210,0,2014,0,2520 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-06-16 00:00:00,798800.0,3.0,2.75,2670,3738,1.0,0,0,3,1720,950,2013,1923,1009-1225 N 41st Pl,Renton,WA 98056,USA,,
2014-06-17 00:00:00,866059.0,5.0,3.5,3130,4797,2.0,0,0,3,2570,560,2014,0,15845 SE 44th Ct,Bellevue,WA 98006,USA,,
2014-06-17 00:00:00,2475000.0,3.0,3.25,4340,4947,2.0,0,3,3,3060,1280,1993,0,5719 Seaview Ave NW,Seattle,WA 98107,USA,,
2014-06-17 00:00:00,1325000.0,4.0,4.0,4420,16526,2.0,0,0,3,4420,0,2013,1923,SE 21st Ct,Sammamish,WA 98075,USA,,
2014-06-19 00:00:00,510000.0,4.0,2.5,2610,8031,2.0,0,0,3,2610,0,1998,2006,19615 55th Ave NE,Lake Forest Park,WA 98155,USA,,
2014-06-19 00:00:00,507000.0,3.0,2.5,2120,7201,2.0,0,0,3,2120,0,2003,0,12200 Densmore Ave N,Seattle,WA 98133,USA,,
2014-06-19 00:00:00,734990.0,4.0,2.5,2650,6884,2.0,0,0,3,2650,0,2012,1912,Eastridge Drive Promenade,Redmond,WA 98053,USA,,
2014-06-20 00:00:00,754800.0,2.0,2.5,2770,7781,2.0,0,0,3,2770,0,2006,0,Sunrise Loop Trail,Redmond,WA 98053,USA,,
2014-06-20 00:00:00,790000.0,4.0,1.75,2050,10920,1.0,0,3,3,1450,600,1974,0,3860 NE 157th Pl,Lake Forest Park,WA 98155,USA,,
2014-06-20 00:00:00,397000.0,4.0,2.5,2320,11717,2.0,0,0,3,2320,0,1997,0,1000 Mountain View Blvd SE,North Bend,WA 98045,USA,,
2014-06-20 00:00:00,925000.0,4.0,2.0,3140,10437,1.0,0,0,4,2040,1100,1959,0,8211 Sedgewick Ln,Mercer Island,WA 98040,USA,,
2014-06-23 00:00:00,362300.0,3.0,2.5,2430,15264,2.0,0,0,3,2430,0,1997,0,9226 S 247th Pl,Kent,WA 98030,USA,,
2014-06-23 00:00:00,491234.0,4.0,2.5,1540,1860,2.0,0,0,3,1540,0,2014,0,2520 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-06-23 00:00:00,649000.0,2.0,1.75,2260,280962,2.0,0,2,3,1890,370,2005,0,29836 NE Tolt Hill Rd,Carnation,WA 98014,USA,,
2014-06-23 00:00:00,329900.0,3.0,2.5,2242,4995,2.0,0,0,3,2242,0,2011,0,Evergreen Way SE,Auburn,WA 98092,USA,,
2014-06-23 00:00:00,160797.0,3.0,1.5,1270,2356,2.0,0,0,3,1270,0,2012,1912,4018 S Lilac St,Seattle,WA 98108,USA,,
2014-06-25 00:00:00,957000.0,5.0,3.25,3160,5000,2.0,0,2,3,2180,980,2005,0,3700 W Fulton St,Seattle,WA 98199,USA,,
2014-06-25 00:00:00,240000.0,3.0,2.25,1481,2820,2.0,0,0,3,1481,0,2012,1912,42 43rd Ct NE,Auburn,WA 98002,USA,,
2014-06-25 00:00:00,309620.0,3.0,2.5,1860,3730,2.0,0,0,3,1860,0,2012,1912,1 View Ln NE,Duvall,WA 98019,USA,,
2014-06-26 00:00:00,358000.0,3.0,1.5,2450,12497,1.0,0,0,4,2450,0,1967,0,7670 10th Ave NW,Snoqualmie,WA 98065,USA,,
2014-06-26 00:00:00,815000.0,3.0,2.0,2270,11989,1.0,0,0,4,2270,0,1968,0,6600 mango St,Mercer Island,WA 98040,USA,,
2014-06-26 00:00:00,440000.0,3.0,1.5,2120,6290,1.0,0,0,4,1220,900,1949,1985,4231 Powell Pl S,Seattle,WA 98108,USA,,
2014-06-26 00:00:00,971971.0,4.0,3.75,3460,6738,2.0,0,0,3,3460,0,2013,1923,14626 Renton Issaquah Rd SE,Renton,WA 98059,USA,,
2014-06-27 00:00:00,425000.0,3.0,1.0,1520,213444,1.5,0,3,5,1520,0,1988,0,10500 185th Ave SE,Renton,WA 98059,USA,,
2014-06-28 00:00:00,230000.0,2.0,1.75,1910,3376,2.0,0,0,3,1910,0,1980,0,213th Ave SE,Maple Valley,WA 98038,USA,,
2014-06-30 00:00:00,436500.0,4.0,2.5,2290,11173,2.0,0,0,4,2290,0,1988,0,133rd Ave SE,Renton,WA 98058,USA,,
2014-06-30 00:00:00,235000.0,2.0,1.0,900,28800,1.0,0,0,1,900,0,1928,0,8406 Railroad Ave,Snoqualmie,WA 98065,USA,,
2014-07-01 00:00:00,300000.0,3.0,2.25,1660,5128,2.0,0,0,3,1660,0,2001,0,278th Ave NE,Duvall,WA 98019,USA,,
2014-07-01 00:00:00,245000.0,3.0,2.0,1190,4072,1.5,0,0,5,1190,0,1907,0,8301-8399 47th Ave S,Seattle,WA 98118,USA,,
2014-07-02 00:00:00,435000.0,3.0,2.5,1900,7984,2.0,0,0,3,1900,0,1993,0,Tolt Pipeline Trail,Bothell,WA 98011,USA,,
2014-07-02 00:00:00,484998.0,4.0,2.5,1540,1870,2.0,0,0,3,1540,0,2014,0,2520 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-07-02 00:00:00,309780.0,3.0,2.5,2242,4500,2.0,0,0,3,2242,0,2014,0,Bennett Ave SE,Auburn,WA 98092,USA,,
2014-07-03 00:00:00,264500.0,4.0,2.25,2060,11385,1.0,0,0,4,1200,860,1962,0,2152 SW 323rd St,Federal Way,WA 98023,USA,,
2014-07-03 00:00:00,1025000.0,4.0,3.5,4370,10860,2.0,0,0,3,4370,0,2008,0,5350 NE 16th St,Renton,WA 98059,USA,,
2014-07-07 00:00:00,866000.0,4.0,3.25,3990,9786,2.0,0,0,3,3990,0,2004,2003,Nuthatch Trail,Redmond,WA 98053,USA,,
2014-07-08 00:00:00,438000.0,2.0,2.0,1270,1372,3.0,0,0,3,1270,0,2000,0,848 NE 67th St,Seattle,WA 98115,USA,,
2014-07-08 00:00:00,245000.0,4.0,2.25,2600,6390,1.0,0,0,3,1390,1210,1978,0,26th Ave SW,Federal Way,WA 98023,USA,,
2014-07-08 00:00:00,357562.0,2.0,1.75,1210,1032,2.0,0,0,3,1210,0,2014,0,2520 Mulberry Walk NE,Issaquah,WA 98029,USA,,
2014-07-08 00:00:00,630000.0,2.0,2.5,2290,3507,2.0,0,0,3,2290,0,2005,0,2598 NE Natalie Way,Issaquah,WA 98029,USA,,
2014-07-08 00:00:00,592350.0,2.0,2.0,1570,4665,1.0,0,0,3,1570,0,2006,0,Adair Creek Trail,Redmond,WA 98053,USA,,
2014-07-08 00:00:00,415000.0,4.0,1.75,1920,7700,2.0,0,0,4,1920,0,1970,0,7209 SE 70th St,Newcastle,WA 98056,USA,,
2014-07-08 00:00:00,1675000.0,3.0,2.5,3490,8343,2.0,1,4,4,2150,1340,1939,1991,Burke-Gilman Trail,Seattle,WA 98125,USA,,
2014-07-08 00:00:00,449990.0,4.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,,
2014-07-09 00:00:00,284000.0,4.0,1.75,1880,8800,1.0,0,0,3,1130,750,1960,2012,10000-10026 S 100th St,Seattle,WA 98168,USA,,
2014-07-09 00:00:00,250000.0,3.0,1.0,990,8062,1.0,0,0,4,990,0,1960,2001,20824-20836 Occidental Ave S,Des Moines,WA 98198,USA,,
2014-07-09 00:00:00,400000.0,3.0,2.0,1760,6875,1.0,0,0,4,1760,0,1967,0,Brooktrails Trail 14,Woodinville,WA 98072,USA,,
2014-07-09 00:00:00,635000.0,4.0,2.5,3080,35430,2.0,0,0,3,3080,0,1997,0,9788-16090 NE Quail Creek Dr,Redmond,WA 98053,USA,,
2014-07-09 00:00:00,749000.0,3.0,2.75,2820,5348,2.0,0,0,3,2820,0,2008,0,12070 166th Pl NE,Redmond,WA 98052,USA,,
2014-05-05 00:00:00,117833.333333,3.0,1.0,1340,306848,1.0,0,0,3,1340,0,1953,0,17827 Mountain View Rd NE,Duvall,WA 98019,USA,,
2014-06-10 00:00:00,237333.333333,3.0,2.75,2340,16500,1.0,0,0,4,1500,840,1972,0,21600 SE 18th Pl,Sammamish,WA 98075,USA,,
2014-06-24 00:00:00,171758.333333,3.0,1.0,1000,8512,1.0,0,0,3,1000,0,1991,0,3402 261st Pl SE,Enumclaw,WA 98022,USA,,
2014-06-26 00:00:00,264270.0,3.0,2.5,1630,7700,1.0,0,0,3,1120,510,1978,0,9812 S 239th Pl,Kent,WA 98031,USA,,
